tenista_1,tenista_2,torneo,1,2
Stefanos Tsitsipas,Rafael Nadal,Open de Australia ,5.50,1.14
Novak Djokovic,Lucas Pouille,Open de Australia ,1.050,11.00
Petra Kvitova,Danielle Collins,Open de Australia ,1.25,4.00
Karolina Pliskova,Naomi Osaka,Open de Australia ,2.20,1.66
Christina McHale,Tatjana Maria,WTA Newport Beach ,1.80,2.00
Harry Bourchier,Lorenzo Giustino,Challenger de Burnie ,3.00,1.36
Kamil Majchrzak,Go Soeda,Challenger de Burnie ,1.33,3.25
Sebastian Fanselow,Marc Polmans,Challenger de Burnie ,2.20,1.61
Thomaz Bellucci,Miomir Kecmanovic,Challenger de Newport Beach ,3.00,1.36
Jason Jung,Dennis Novikov,Challenger de Newport Beach ,1.66,2.10
JC Aragone,Donald Young,Challenger de Newport Beach ,2.62,1.44
Filip Peliwo,Enzo Couacaud,Challenger de Newport Beach ,3.75,1.25
Thiago Monteiro,Gonzalo Lama,Challenger de Punta del Este ,1.33,3.25
Raul Brancaccio,Quentin Halys,Challenger Rennes ,3.40,1.30
Aslan Karatsev,Corentin Moutet,Challenger Rennes ,2.20,1.61
Salvatore Caruso,Ricardas Berankis,Challenger Rennes ,4.33,1.20
Sergiy Stakhovsky,Marcos Baghdatis,Challenger Rennes ,2.75,1.40
Elias Ymer,Yannick Mertens,Challenger Rennes ,1.14,5.50
Yannick Maden,Andrea Arnaboldi,Challenger Rennes ,1.28,3.50
Ivan Sabanov,Simone Roncalli,ITF 15 Antalya ,2.25,1.57
Dostanbek Tashbulatov,Alexander Ovcharov,ITF 15 Antalya ,2.20,1.61
Duje Kekez,Luis G Monio,ITF 15 Antalya ,1.50,2.50
Maciej Rajski,Timofei Skatov,ITF 15 Antalya ,1.44,2.62
Samuel Brosset,Stefano Baldoni,ITF 15 Antalya ,2.25,1.57
Gokberk Ergeneman,Ergi Kirkin,ITF 15 Antalya ,7.50,1.071
Mathieu Perchicot,Juan Manuel Cerundolo,ITF 15 Antalya ,1.083,7.00
Maxime Hamou,Tomas Vanko,ITF 15 Antalya ,1.002,21.00
Andres F Canovas,Vladimir Korolev,ITF 15 Antalya ,2.20,1.61
Georg Winkler,Tom Fawcett,ITF 15 Antalya ,1.90,1.80
Nikita Mashtakov,Wilson Leite,ITF 15 Antalya ,4.50,1.16
Simon Freund,Matyas Fuele,ITF 15 Antalya ,3.40,1.30
Khumoyun Sultanov,Alexander Vasilenko,ITF M25 Kazán ,1.66,2.10
Maxim Ratniuk,Matvey Minin,ITF M25 Kazán ,1.44,2.62
Altug Celikbilek,Julian Cash,ITF M15 Monastir ,1.53,2.37
Andrea Pellegrino,Emiliano Maggioli,ITF M15 Monastir ,1.57,2.25
Luis Faria,Skander Mansouri,ITF M15 Monastir ,5.00,1.14
Riccardo Balzerani,Aidan Mchugh,ITF M15 Monastir ,1.72,2.00
Aryan Goveas,Zhizhen Zhang,ITF M15 Monastir ,4.33,1.20
Gilbert S K Junior,Maxime Pauwels,ITF M15 Monastir ,2.37,1.53
Jonathan Gray,Alen Avidzba,ITF M15 Monastir ,5.00,1.14
Tiago Cacao,Christian Seraphim,ITF M15 Monastir ,1.33,3.25
Alexander Erler,Marc-Andrea Huesler,ITF M25 Nussloch ,2.37,1.53
Benjamin Hassan,Dominik Boehler,ITF M25 Nussloch ,1.61,2.20
Danylo Kalenichenko,Peter Torebko,ITF M25 Nussloch ,2.10,1.66
Lorenzo Frigerio,Botic Van De Zandschulp,ITF M25 Nussloch ,1.61,2.20
Peter Heller,Kai Wehnelt,ITF M25 Nussloch ,1.53,2.37
Tobias Simon,Ryan Peniston,ITF M25 Nussloch ,1.66,2.10
Lucas Gerch,Tim Van Rijthoven,ITF M25 Nussloch ,3.40,1.30
Dennis Uspensky,Walter Trusendi,ITF M15 Palmanova ,2.75,1.40
Vullnet Tashi,Pol M Tiffon,ITF M15 Palmanova ,3.25,1.33
Maxime Mora,Giovanni Fonio,ITF M15 Palmanova ,2.50,1.50
Pedro Vives Marcos,Pol Toledo Bague,ITF M15 Palmanova ,3.25,1.33
Quentin Folliot,Miguel Semmler,ITF M15 Palmanova ,6.00,1.11
Carlos Alcaraz Garfia,Jeroen Vanneste,ITF M15 Palmanova ,2.20,1.61
Francisco Cerundolo,Dante Gennaro,ITF M15 Palmanova ,1.22,4.00
Johan Nikles,Sandro Ehrat,ITF M15 Palmanova ,3.75,1.25
Jeremy Jahn,Carlos L-Montagud,ITF M15 Palmanova ,1.16,4.50
Benjamin Lock,David Poljak,ITF M15 Sharm El Sheikh ,1.72,2.00
Lukas Klein,Adrian Andrzejczuk,ITF M15 Sharm El Sheikh ,1.12,5.50
Mats Rosenkranz,Chun Hsin Tseng,ITF M15 Sharm El Sheikh ,5.00,1.14
Vaclav Safranek,Kacper Zuk,ITF M15 Sharm El Sheikh ,1.28,3.50
Oleksii Krutykh,Arthur Rinderknech,ITF M15 Sharm El Sheikh ,5.00,1.14
Enrico Dalla Valle,Vladyslav Orlov,ITF M15 Sharm El Sheikh ,1.083,7.00
Peter Kobelt,Karim-Mohamed Maamoun,ITF M15 Sharm El Sheikh ,2.62,1.44
Toby Martin,Pablo Vivero Gonzalez,ITF M15 Sharm El Sheikh ,2.20,1.61
Christopher Heyman,Leny Mitjana,ITF M15 Veigy,1.72,2.00
Luke Johnson,Lucas Catarina,ITF M15 Veigy,2.62,1.44
Kyrian Jacquet,Albano Olivetti,ITF M15 Veigy,4.50,1.16
Petr Nouza,Raphael Baltensperger,ITF M15 Veigy,1.83,1.83
Dan Added,Michal Konecny,ITF M15 Veigy,2.10,1.66
Jakub Paul,Maxime Tchoutakian,ITF M15 Veigy,1.83,1.83
Hugo Grenier,Alexis Canter,ITF M15 Veigy,1.20,4.33
Damien Bayard,Tomas Machac,ITF M15 Veigy,4.33,1.20
Isabella Shinikova,Tamara Korpatsch,ITF W60 Andrezieux,2.10,1.66
Antonia Lottner,Audrey Albie,ITF W60 Andrezieux,1.40,2.75
Clara Burel,Myrtille Georges,ITF W60 Andrezieux,1.61,2.20
Vitalia Diatchenko,Rebecca Sramkova,ITF W60 Andrezieux,1.44,2.62
Giulia G-Monticone,Ysaline Bonaventure,ITF W60 Andrezieux,4.33,1.20
Julie Gervais,Marina Melnikova,ITF W60 Andrezieux,2.62,1.44
Ayaka Okuno,Gergana Topalova,ITF 15 Antalya ,4.33,1.20
Siqi Cao,Zeynep Sonmez,ITF 15 Antalya ,1.83,1.83
Yexin Ma,Naho Sato,ITF 15 Antalya ,3.50,1.28
