tenista_1,tenista_2,torneo,1,2
Albert Ramos Viñolas,Rogerio Dutra Silva,ATP Buenos Aires ,1.020,19.00
Facundo Bagnis,Maximilian Marterer,ATP Buenos Aires ,1.90,1.80
Christian Garin,Felix Auger Aliassime,ATP Buenos Aires ,1.72,2.00
David Ferrer,Malek Jaziri,ATP Buenos Aires ,1.40,2.75
Dusan Lajovic,Leonardo Mayer,ATP Buenos Aires ,2.25,1.57
Francisco Cerundolo,Guido Pella,ATP Buenos Aires ,4.50,1.18
Guido Andreozzi,Aljaz Bedene,ATP Buenos Aires ,3.00,1.36
Jaume Munar,Federico Delbonis,ATP Buenos Aires ,1.83,1.83
Juan Ignacio Londero,Joao Sousa,ATP Buenos Aires ,2.20,1.61
Roberto C Baena,Taro Daniel,ATP Buenos Aires ,1.57,2.25
Marcelo Arevalo,Pablo Cuevas,ATP Buenos Aires ,4.00,1.22
Tennys Sandgren,Paolo Lorenzi,ATP Nueva York ,1.28,3.50
Noah Rubin,Jordan Thompson,ATP Nueva York ,2.10,1.66
Denis Istomin,Mackenzie McDonald,ATP Nueva York ,2.20,1.61
Guillermo Garcia-Lopez,Bradley Klahn,ATP Nueva York ,2.20,1.61
Ivo Karlovic,Radu Albot,ATP Nueva York ,1.66,2.10
Peter Polansky,Ryan Harrison,ATP Nueva York ,2.75,1.40
Reilly Opelka,Adrian Mannarino,ATP Nueva York ,1.50,2.50
Sam Querrey,Lloyd Harris,ATP Nueva York ,1.44,2.62
Hyeon Chung,Nikoloz Basilashvili,ATP Róterdam ,1.95,1.80
Marius Copil,Ernests Gulbis,ATP Róterdam ,2.10,1.66
Milos Raonic,Philipp Kohlschreiber,ATP Róterdam ,1.25,3.75
Franko Skugor,Denis Shapovalov,ATP Róterdam ,6.00,1.12
Matthew Ebden,Fernando Verdasco,ATP Róterdam ,3.00,1.36
Gilles Simon,Tomas Berdych,ATP Róterdam ,2.50,1.50
David Goffin,Gael Monfils,ATP Róterdam ,1.83,1.83
Kei Nishikori,Pierre-Hugues Herbert,ATP Róterdam ,1.33,3.25
Tallon Griekspoor,Karen Khachanov,ATP Róterdam ,8.00,1.083
Damir Dzumhur,Stefanos Tsitsipas,ATP Róterdam ,4.33,1.20
Daniil Medvedev,Jeremy Chardy,ATP Róterdam ,1.30,3.40
Jo-Wilfried Tsonga,Thomas Fabbiano,ATP Róterdam ,1.14,5.50
Martin Klizan,Marton Fucsovics,ATP Róterdam ,1.66,2.10
Aliaksandra Sasnovich,Su-Wei Hsieh,WTA Doha ,1.72,2.00
Caroline Garcia,Lesia Tsurenko,WTA Doha ,1.53,2.37
Elise Mertens,Katerina Siniakova,WTA Doha ,1.53,2.37
Kiki Bertens,Camila Giorgi,WTA Doha ,1.40,2.75
Mihaela Buzarnescu,Jelena Ostapenko,WTA Doha ,2.10,1.66
Ons Jabeur,Carla Suarez Navarro,WTA Doha ,2.10,1.66
Evgenii Tiurnev,Dimitar Kuzmanov,Challenger de Bangkok ,3.50,1.28
Jose Hernandez-Fernandez,Ivan Gakhov,Challenger de Bangkok ,2.10,1.66
Soonwoo Kwon,Sasi Kumar Mukund,Challenger de Bangkok ,1.40,2.75
Tsung-Hua Yang,Janko Tipsarevic,Challenger de Bangkok ,2.75,1.40
Prajnesh Gunneswaran,JC Aragone,Challenger de Bangkok ,1.66,2.10
Oriol Roca Batalla,Aleksandr Nedovyesov,Challenger de Bangkok ,4.00,1.22
Dudi Sela,Laurynas Grigelis,Challenger de Bangkok ,1.36,3.00
Henri Laaksonen,Stephane Robert,Challenger de Bangkok ,1.40,2.75
Go Soeda,Pol Wattanakul,Challenger de Bangkok ,1.11,6.50
Duckhee Lee,Viktor Troicki,Challenger de Bangkok ,3.50,1.28
Enrique Lopez-Perez,Gianluca Mager,Challenger de Bangkok ,1.90,1.80
Zhe Li,Thiemo De Bakker,Challenger de Bangkok ,1.90,1.80
Max Purcell,Corentin Moutet,Challenger de Bangkok ,2.25,1.57
Ze Zhang,James Duckworth,Challenger de Bangkok ,2.50,1.50
Clement Tabur,Filip Horansky,Challenger de Cherbourg ,3.25,1.33
Laurent Lokoli,Ricardo Ojeda Lara,Challenger de Cherbourg ,1.40,2.75
Andrés Artuñedo Martinavarro,Alexandre Muller,Challenger de Cherbourg ,2.37,1.53
Mikalai Haliak,Timur Kiyamov,ITF M25 Aktobe ,1.80,1.90
Aliaksandr Liaonenka,David Jorda Sanchis,ITF M25 Aktobe ,3.00,1.36
Michal Konecny,Savriyan Danilov,ITF M25 Aktobe ,1.40,2.75
