Julian Bradley,Boris Arias,ITF M15 Tucson ,2.62,1.44
Pierce Rollins,Eric Hadigian,ITF M15 Tucson ,1.40,2.75
Carlos Hassey,Joao Pedro Sorgi,ITF M15 Tucson ,15.00,1.010
Martin Redlicki,Michail Pervolarakis,ITF M15 Tucson ,1.50,2.50
Dusty H. Boyer,Tyler Lu,ITF M15 Tucson ,1.83,1.83
José Olivares,Mitchell Thomas McDaniels,ITF M15 Tucson ,1.20,4.33
Matic Spec,Michael Zhu,ITF M15 Tucson ,1.61,2.20
William Griffith,Liam Draxl,ITF M15 Tucson ,1.36,3.00
Sofija Zecevic,Alice Rame,ITF W15 Monastir ,SP,1.001
Andrea Lazaro Garcia,Sasha Hill,ITF W15 Monastir ,1.10,6.50
Dalila Spiteri,Amy Zhu,ITF W15 Monastir ,1.25,3.75
Elizabeth Mandlik,Caroline Romeo,ITF W15 Monastir ,1.72,2.00
Manon Peral,Leonie Kung,ITF W15 Monastir ,7.00,1.083
Maria Tanasescu,Pauline Payet,ITF W15 Monastir ,2.25,1.57
Marta Lesniak,Lara Michel,ITF W15 Monastir ,1.40,2.75
Nastassja Burnett,Miriam B Bulgaru,ITF W15 Monastir ,2.25,1.57
Vinciane Remy,Emeline Dartron,ITF W15 Monastir ,2.10,1.66
Anastasia Vdovenco,Marianna Zakarlyuk,ITF W15 Sharm El Sheikh ,2.75,1.40
Naomi Broady,Raluca Georgiana Serban,ITF W60 Shrewsbury ,2.75,1.40
Ulrikke Eikeri,Ekaterine Gorgodze,ITF W60 Shrewsbury ,2.20,1.61
Aliona Bolsova Zadoinov,Francesca Jones,ITF W60 Shrewsbury ,1.25,3.75
Jessika Ponchet,Danka Kovinic,ITF W60 Shrewsbury ,1.44,2.62
Martina Di Giuseppe,Vitalia Diatchenko,ITF W60 Shrewsbury ,5.50,1.12
Harmony Tan,Kaja Juvan,ITF W60 Shrewsbury ,1.90,1.80
Laura Robson,Kathinka Von Deichmann,ITF W60 Shrewsbury ,2.25,1.57
Olga Saez Larra,Bibiane Schoofs,ITF W60 Shrewsbury ,3.75,1.25
Jodie Anna Burrage,Valentini Grammatikopoulou,ITF W60 Shrewsbury ,1.50,2.50
Kimberley Zimmermann,Jana Fett,ITF W60 Shrewsbury ,2.37,1.53
Lina Gjorcheska,Amandine Hesse,ITF W60 Shrewsbury ,2.50,1.50
Tereza Smitkova,Sherazad Reix,ITF W60 Shrewsbury ,1.28,3.50
Chihiro Muramatsu,Maegan Manasse,ITF W25 Surprise ,2.00,1.72
Olga Govortsova,Yvonne Cavalle-Reimers,ITF W25 Surprise ,1.12,5.50
Paula Cristina Goncalves,Hanna Chang,ITF W25 Surprise ,1.72,2.00
Salome Devidze,Maria F H Gonzalez,ITF W25 Surprise ,2.20,1.61
Ana Sofia Sanchez,Alize Lim,ITF W25 Surprise ,1.83,1.83
Louisa Chirico,Jacqueline Cako,ITF W25 Surprise ,1.61,2.20
Olivia Rogowska,Ann Li,ITF W25 Surprise ,1.72,2.00
Salma Ewing,Pamela Montez,ITF W25 Surprise ,2.10,1.66
Anastasia E Nefedova,Hua-Chen Lee,ITF W25 Surprise ,3.40,1.30
Cori Gauff,Eva Guerrero Alvarez,ITF W25 Surprise ,1.50,2.50
Anastasiya Shoshyna,Anna Zaja,ITF W25 Trnava ,1.75,2.00
Romana Cisovska,Elitsa Kostova,ITF W25 Trnava ,8.50,1.050
Schwartzman/Thiem,Cuevas/Lopez,ATP Buenos Aires ,2.37,1.53
Munar/Ramos-Vinolas,Bedene/Marrero,ATP Buenos Aires ,2.10,1.66
Andreozzi/Pella,Granollers/Sousa,ATP Buenos Aires ,2.00,1.72
Gonzalez/Zeballos,Monroe/A.R. Varela,ATP Buenos Aires ,1.44,2.62
Jebavy/Molteni,Daniel/Marterer,ATP Buenos Aires ,1.20,4.33
Albot/Smith,Mannarino/Nys,ATP Nueva York ,1.61,2.20
McDonald/Millman,Johnson/Opelka,ATP Nueva York ,2.00,1.72
Bambridge/O'Mara,Molchanov/Zelenay,ATP Nueva York ,1.90,1.80
Bryan/Bryan,Sandgren/Withrow,ATP Nueva York ,1.25,3.75
Hewitt/Popyrin,Lindstedt/Puetz,ATP Nueva York ,2.50,1.50
Klahn/Querrey,Harrison/Thompson,ATP Nueva York ,1.83,1.83
Krawietz/Mies,Skupski/Skupski,ATP Nueva York ,2.20,1.61
Ram/Salisbury,Kubot/Melo,ATP Rotterdam ,2.20,1.61
Inglot/Skugor,Haase/Middelkoop,ATP Rotterdam ,1.90,1.80
Granollers/Mektic,Arends/Pel,ATP Rotterdam ,1.25,3.75
Khachanov/Medvedev,Rojer/Tecau,ATP Rotterdam ,3.25,1.33
Koolhof/Melzer,Klaasen/Venus,ATP Rotterdam ,2.50,1.50
Marach/Pavic,Dodig/Roger-Vasselin,ATP Rotterdam ,1.61,2.20
Al Nabhani/Al-Naimi,Spears/Yang,WTA Doha ,21.00,1.015
Chan/Chan,Aoyama/Marozava,WTA Doha ,1.28,3.50
Arruabarrena/Christian,Dabrowski/Xu,WTA Doha ,3.50,1.28
Buzarnescu/Rosolska,Jurak/M Sanchez,WTA Doha ,2.10,1.66
Groenefeld/Schuurs,Kato/Ninomiya,WTA Doha ,1.61,2.20
Kichenok/Sasnovich,Atawo/Srebotnik,WTA Doha ,2.20,1.61
