Equipo Local,Equipo Visitante,Competicion,1,X,2
Sevilla,Levante, 1ª División,1.45,4.20,7.50
Atlético de Madrid,Getafe, 1ª División,1.57,3.50,7.00
Leganés,Eibar, 1ª División,2.50,3.00,3.00
Valladolid,Celta de Vigo, 1ª División,2.37,3.10,3.20
Girona,Barcelona, 1ª División,9.00,5.00,1.33
Athletic de Bilbao,Real Betis, 1ª División,2.15,3.25,3.40
Real Sociedad,Huesca, 1ª División,1.61,3.75,5.50
Valencia,Villarreal, 1ª División,1.90,3.40,4.00
Espanyol,Real Madrid, 1ª División,4.50,3.75,1.75
Alavés,Rayo Vallecano, 1ª División,2.10,3.30,3.50
Huesca,Valladolid, 1ª División,2.30,3.20,3.20
Levante,Getafe, 1ª División,2.45,3.20,2.90
Barcelona,Valencia, 1ª División,1.28,5.75,9.00
Celta de Vigo,Sevilla, 1ª División,3.40,3.60,2.05
Eibar,Girona, 1ª División,1.80,3.50,4.50
Rayo Vallecano,Leganés, 1ª División,2.15,3.30,3.40
Real Betis,Atlético de Madrid, 1ª División,3.40,3.10,2.25
Real Madrid,Alavés, 1ª División,1.22,7.00,10.00
Real Sociedad,Athletic de Bilbao, 1ª División,2.10,3.40,3.40
Villarreal,Espanyol, 1ª División,1.95,3.50,3.80
Espanyol,Real Betis, Copa del Rey,2.30,3.40,3.00
Real Madrid,Girona, Copa del Rey,1.36,4.75,8.00
Real Zaragoza,Oviedo, 2ª División,2.25,2.90,3.60
Almería,Osasuna, 2ª División,2.62,2.87,3.00
Elche,Numancia, 2ª División,2.25,3.00,3.50
Lugo,Rayo Majadahonda, 2ª División,2.05,3.00,4.20
Cádiz,Mallorca, 2ª División,2.05,2.90,4.33
Tenerife,Málaga C.F., 2ª División,2.70,2.80,3.00
Albacete,Reus Deportiu, 2ª División,1.44,4.20,7.50
Granada,Extremadura, 2ª División,1.50,3.60,8.50
Alcorcón,Córdoba, 2ª División,1.60,3.40,7.00
Sporting de Gijón,Deportivo La Coruña, 2ª División,2.55,2.87,3.10
Gimnàstic,Las Palmas, 2ª División,2.90,3.00,2.60
