Equipo Local,Equipo Visitante,Competicion,1,X,2
Espanyol,Huesca, 1ª División,1.72,3.60,4.75
Getafe,Rayo Vallecano, 1ª División,1.75,3.40,5.00
Sevilla,Barcelona, 1ª División,3.25,4.00,2.00
Alavés,Celta de Vigo, 1ª División,2.30,3.25,3.10
Athletic de Bilbao,Eibar, 1ª División,2.05,3.20,3.80
Leganés,Valencia, 1ª División,2.70,3.10,2.70
Atlético de Madrid,Villarreal, 1ª División,1.61,3.75,5.50
Valladolid,Real Betis, 1ª División,2.60,3.10,2.80
Levante,Real Madrid, 1ª División,5.25,4.33,1.55
Girona,Real Sociedad, 1ª División,2.62,3.20,2.70
Rayo Vallecano,Girona, 1ª División,2.62,3.20,2.70
Espanyol,Valladolid, 1ª División,1.70,3.50,5.25
Villarreal,Alavés, 1ª División,1.72,3.60,4.75
Huesca,Sevilla, 1ª División,4.00,3.30,1.95
Real Madrid,Barcelona, 1ª División,2.50,3.50,2.62
Eibar,Celta de Vigo, 1ª División,1.90,3.60,3.75
Real Betis,Getafe, 1ª División,1.90,3.20,4.33
Real Sociedad,Atlético de Madrid, 1ª División,3.40,3.10,2.25
Valencia,Athletic de Bilbao, 1ª División,1.80,3.25,5.00
Leganés,Levante, 1ª División,1.95,3.20,4.10
Real Madrid,Barcelona, Copa del Rey,2.70,3.50,2.45
Valencia,Real Betis, Copa del Rey,1.75,3.50,4.75
Tenerife,Mallorca, 2ª División,2.05,3.10,3.80
Albacete,Oviedo, 2ª División,2.15,3.00,3.80
Gimnàstic,Cádiz, 2ª División,4.10,3.00,2.05
Alcorcón,Las Palmas, 2ª División,2.30,2.87,3.60
Osasuna,Real Zaragoza, 2ª División,1.75,3.40,5.00
Sporting de Gijón,Rayo Majadahonda, 2ª División,1.61,3.40,6.50
Almería,Córdoba, 2ª División,1.60,3.40,7.00
Lugo,Elche, 2ª División,2.10,3.10,3.80
Málaga C.F.,Deportivo La Coruña, 2ª División,2.30,2.80,3.50
Extremadura,Numancia, 2ª División,2.35,3.00,3.25
